"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","127.0.0.1","127.0.0.1","TCP","45","11434  >  51512 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"2","0.000018300","127.0.0.1","127.0.0.1","TCP","56","51512  >  11434 [ACK] Seq=1 Ack=2 Win=255 Len=0 SLE=1 SRE=2"
"3","15.001200800","127.0.0.1","127.0.0.1","TCP","45","[TCP Keep-Alive] 51512  >  11434 [ACK] Seq=0 Ack=2 Win=255 Len=1"
"4","15.001201300","127.0.0.1","127.0.0.1","TCP","45","[TCP Keep-Alive] 11434  >  51512 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"5","15.001215900","127.0.0.1","127.0.0.1","TCP","56","[TCP Keep-Alive ACK] 11434  >  51512 [ACK] Seq=2 Ack=1 Win=255 Len=0 SLE=0 SRE=1"
"6","15.001218700","127.0.0.1","127.0.0.1","TCP","56","[TCP Dup ACK 2#1] 51512  >  11434 [ACK] Seq=1 Ack=2 Win=255 Len=0 SLE=1 SRE=2"
"7","30.012210800","127.0.0.1","127.0.0.1","TCP","45","[TCP Keep-Alive] 11434  >  51512 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"8","30.012231200","127.0.0.1","127.0.0.1","TCP","56","[TCP Keep-Alive ACK] 51512  >  11434 [ACK] Seq=1 Ack=2 Win=255 Len=0 SLE=1 SRE=2"
"9","45.014609800","127.0.0.1","127.0.0.1","TCP","45","[TCP Keep-Alive] 51512  >  11434 [ACK] Seq=0 Ack=2 Win=255 Len=1"
"10","45.014609800","127.0.0.1","127.0.0.1","TCP","45","[TCP Keep-Alive] 11434  >  51512 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"11","45.014628300","127.0.0.1","127.0.0.1","TCP","56","[TCP Keep-Alive ACK] 51512  >  11434 [ACK] Seq=1 Ack=2 Win=255 Len=0 SLE=1 SRE=2"
"12","45.014629000","127.0.0.1","127.0.0.1","TCP","56","[TCP Dup ACK 1#1] 11434  >  51512 [ACK] Seq=2 Ack=1 Win=255 Len=0 SLE=0 SRE=1"
